source_ip,destination_ip,source_port,destination_port,protocol,packet_count,byte_count,duration,flow_rate,label
10.0.253.152,89.133.81.73,62543,4444,TCP,2396,12176472,1.66,7335224.1,MALICIOUS
10.0.168.249,141.165.125.9,23000,80,TCP,60,47400,5.57,8509.87,BENIGN
10.0.3.28,164.179.111.10,17730,23,UDP,6,294,0.05,5880.0,SUSPICIOUS
10.0.212.161,33.173.48.221,37339,6667,HTTPS,3296,16107552,4.11,3919112.41,MALICIOUS
10.0.170.223,156.7.77.154,16130,24686,ICMP,2395,224699,117.167,1917.77,ANOMALOUS
10.0.145.112,88.216.128.142,32358,26459,TCP,1185,153564,42.622,3602.93,ANOMALOUS
10.0.98.11,144.19.165.31,42117,4444,UDP,10,690,0.55,1254.55,SUSPICIOUS
10.0.14.254,8.143.241.67,30333,53,HTTPS,182,236418,28.7,8237.56,BENIGN
10.0.173.93,70.171.22.68,19087,80,DNS,188,276736,9.56,28947.28,BENIGN
10.0.253.141,124.32.208.26,6997,6667,UDP,9,441,0.64,689.06,SUSPICIOUS
10.0.27.128,146.20.60.199,29260,4406,HTTP,2357,364763,110.236,3308.93,ANOMALOUS
10.0.21.101,6.153.155.162,56942,443,HTTPS,26,32734,28.73,1139.37,BENIGN
10.0.59.143,31.135.214.60,32767,9001,TCP,4376,22050664,3.23,6826830.96,MALICIOUS
10.0.251.202,179.53.167.92,59377,4444,TCP,3787,32590922,2.58,12632140.31,MALICIOUS
10.0.55.244,160.253.95.230,4721,53,HTTPS,129,117906,27.32,4315.74,BENIGN
10.0.97.132,122.125.228.28,36800,80,DNS,171,161595,19.73,8190.32,BENIGN
10.0.32.145,16.105.254.175,61542,80,DNS,114,80142,14.02,5716.26,BENIGN
10.0.41.90,108.63.106.98,47243,80,TCP,84,79380,2.72,29183.82,BENIGN
10.0.39.154,38.169.130.167,9769,443,DNS,182,124306,18.67,6658.06,BENIGN
10.0.71.136,213.176.7.169,20225,1337,TCP,2218,19509528,1.29,15123665.12,MALICIOUS
10.0.159.80,187.84.249.156,47695,28753,TCP,1296,192720,113.851,1692.74,ANOMALOUS
10.0.83.102,179.138.209.253,21494,6667,UDP,5,330,0.95,347.37,SUSPICIOUS
10.0.199.196,84.253.76.73,55081,53,DNS,163,224451,4.43,50666.14,BENIGN
10.0.7.175,100.79.243.198,30946,13912,HTTP,2248,53510,9.952,5376.81,ANOMALOUS
10.0.157.177,56.117.175.51,23801,443,DNS,191,260142,4.28,60780.84,BENIGN
10.0.74.9,7.57.54.160,3047,4444,TCP,3325,7185325,3.8,1890875.0,MALICIOUS
10.0.252.64,43.0.22.16,4849,23,TCP,7,357,0.25,1428.0,SUSPICIOUS
10.0.33.226,223.196.54.64,63234,4444,TCP,2164,4148388,1.14,3638936.84,MALICIOUS
10.0.92.207,180.148.185.148,56162,9766,HTTPS,1471,211031,93.557,2255.64,ANOMALOUS
10.0.81.83,158.140.233.37,39813,4444,UDP,9,882,0.49,1800.0,SUSPICIOUS
10.0.98.100,67.114.0.3,21756,53,DNS,82,82246,8.43,9756.35,BENIGN
10.0.167.245,49.132.52.43,10744,1337,TCP,2100,8708700,1.6,5442937.5,MALICIOUS
10.0.142.227,36.220.142.181,63789,443,TCP,96,139968,26.54,5273.85,BENIGN
10.0.111.197,74.66.126.102,27346,53,TCP,132,29700,5.07,5857.99,BENIGN
10.0.242.47,145.111.21.103,17215,6667,TCP,7,434,0.13,3338.46,SUSPICIOUS
10.0.178.245,94.41.112.27,32655,53,HTTPS,125,57750,10.2,5661.76,BENIGN
10.0.6.157,142.100.72.106,43464,6667,TCP,9,702,0.65,1080.0,SUSPICIOUS
10.0.223.245,186.119.157.203,38065,3389,TCP,7,553,0.59,937.29,SUSPICIOUS
10.0.189.248,61.113.88.10,59283,1821,ICMP,1442,31088,108.331,286.97,ANOMALOUS
10.0.207.11,97.17.237.17,59911,53,HTTPS,70,32130,22.44,1431.82,BENIGN
10.0.10.160,220.209.93.229,60543,4444,HTTPS,587,2456008,4.33,567207.39,MALICIOUS
10.0.64.176,129.110.47.70,29324,80,HTTPS,103,90434,19.41,4659.14,BENIGN
10.0.10.157,12.169.48.131,3245,6667,HTTPS,4470,32192940,4.59,7013712.42,MALICIOUS
10.0.158.144,182.132.154.48,37116,42059,HTTP,141,166983,2.448,68212.01,ANOMALOUS
10.0.219.188,180.71.8.212,43156,443,DNS,154,224532,28.69,7826.14,BENIGN
10.0.85.157,177.46.152.51,56027,9001,HTTPS,2245,12006260,1.31,9165083.97,MALICIOUS
10.0.87.237,18.55.196.126,3874,8080,TCP,5,240,0.84,285.71,SUSPICIOUS
10.0.161.14,156.198.44.232,56490,3389,TCP,4,316,0.41,770.73,SUSPICIOUS
10.0.0.123,168.176.43.214,50185,443,DNS,35,29925,23.49,1273.95,BENIGN
10.0.38.108,108.180.135.28,63518,6667,TCP,2986,21122964,2.6,8124216.92,MALICIOUS
10.0.104.185,21.25.210.116,19780,80,DNS,197,67571,19.37,3488.44,BENIGN
10.0.165.243,39.202.24.19,60642,53,DNS,29,23432,17.53,1336.68,BENIGN
10.0.104.184,122.8.189.134,14792,6667,HTTPS,3861,27332019,4.79,5706058.25,MALICIOUS
10.0.186.122,32.59.249.251,10468,443,TCP,127,133350,9.42,14156.05,BENIGN
10.0.205.208,68.5.28.166,40468,31337,UDP,10,810,0.58,1396.55,SUSPICIOUS
10.0.130.234,14.16.5.16,5222,25491,TCP,2666,360006,98.081,3670.5,ANOMALOUS
10.0.6.231,190.148.129.96,39636,443,HTTPS,105,90195,29.96,3010.51,BENIGN
10.0.221.81,67.50.214.63,32661,9001,HTTPS,1781,5428488,4.4,1233747.27,MALICIOUS
10.0.63.243,58.31.203.13,20003,80,HTTPS,16,19200,25.77,745.05,BENIGN
10.0.19.32,86.134.26.69,61878,3389,UDP,9,504,0.3,1680.0,SUSPICIOUS
10.0.175.190,68.245.82.133,46248,53,HTTPS,57,65037,10.92,5955.77,BENIGN
10.0.104.209,3.167.209.174,14354,23,UDP,3,237,0.32,740.62,SUSPICIOUS
10.0.128.234,111.252.67.238,49421,80,TCP,51,3927,24.1,162.95,BENIGN
10.0.182.137,58.211.154.151,32147,3389,TCP,4,252,0.63,400.0,SUSPICIOUS
10.0.168.163,58.99.122.210,33318,80,TCP,194,101656,6.08,16719.74,BENIGN
10.0.43.8,11.68.184.246,42165,443,HTTPS,101,99384,16.8,5915.71,BENIGN
10.0.98.69,78.79.79.250,11570,6667,TCP,3175,18853150,3.09,6101343.04,MALICIOUS
10.0.92.223,10.215.51.235,9090,51547,DNS,55,193403,104.631,1848.43,ANOMALOUS
10.0.77.22,46.77.118.169,12974,80,HTTPS,8,8424,24.95,337.64,BENIGN
10.0.152.112,71.100.55.164,31427,4444,TCP,2800,7534800,4.54,1659647.58,MALICIOUS
10.0.76.45,37.242.61.143,37425,80,HTTPS,88,128216,15.6,8218.97,BENIGN
10.0.132.237,144.103.229.36,5778,53,TCP,36,31068,13.32,2332.43,BENIGN
10.0.33.191,189.242.129.208,14473,443,HTTPS,72,38880,21.91,1774.53,BENIGN
10.0.46.66,82.119.45.245,55686,10468,DNS,2075,206117,21.921,9402.72,ANOMALOUS
10.0.81.44,33.14.77.152,40074,80,TCP,172,61748,18.39,3357.69,BENIGN
10.0.235.159,173.120.62.200,25467,80,TCP,80,50560,17.05,2965.4,BENIGN
10.0.32.114,84.102.141.116,17254,53,DNS,141,146499,15.28,9587.63,BENIGN
10.0.34.253,54.225.83.29,38168,443,TCP,158,26386,3.16,8350.0,BENIGN
10.0.19.65,140.111.82.184,38678,9001,TCP,4753,18308556,1.4,13077540.0,MALICIOUS
10.0.222.231,41.216.58.211,31229,3389,TCP,7,532,0.88,604.55,SUSPICIOUS
10.0.111.223,32.66.241.5,48075,48773,ICMP,2947,298324,29.073,10261.2,ANOMALOUS
10.0.124.24,45.175.46.82,14271,443,HTTPS,99,58311,24.3,2399.63,BENIGN
10.0.43.226,130.7.86.67,60986,4444,TCP,4,400,0.17,2352.94,SUSPICIOUS
10.0.121.82,96.18.101.47,45567,4444,UDP,3,240,0.94,255.32,SUSPICIOUS
10.0.70.178,165.21.34.189,24840,6667,TCP,1038,8320608,3.36,2476371.43,MALICIOUS
10.0.25.49,154.99.38.96,51996,6667,TCP,8,624,0.27,2311.11,SUSPICIOUS
10.0.126.12,127.191.54.96,20696,39139,DNS,1899,412806,9.81,42080.12,ANOMALOUS
10.0.255.227,173.215.41.66,15886,80,HTTPS,175,162575,27.76,5856.45,BENIGN
10.0.20.247,172.39.160.88,53249,80,DNS,94,120038,14.95,8029.3,BENIGN
10.0.21.74,214.72.75.71,22732,35033,HTTPS,2805,407405,109.65,3715.5,ANOMALOUS
10.0.98.226,100.168.122.98,1442,23,UDP,8,744,0.54,1377.78,SUSPICIOUS
10.0.211.8,112.50.177.121,57531,4444,TCP,4906,27655122,1.87,14788835.29,MALICIOUS
10.0.200.132,196.62.182.164,5054,4444,TCP,2568,8338296,2.53,3295769.17,MALICIOUS
10.0.240.174,43.74.59.93,31259,25280,DNS,672,330157,96.222,3431.2,ANOMALOUS
10.0.67.252,126.147.84.176,50580,4444,TCP,2,186,0.36,516.67,SUSPICIOUS
10.0.17.179,87.215.185.175,49463,53,TCP,55,4015,23.93,167.78,BENIGN
10.0.222.253,50.108.14.65,39456,80,HTTPS,79,85794,7.29,11768.72,BENIGN
10.0.68.4,206.124.76.116,44636,4444,TCP,2,160,0.15,1066.67,SUSPICIOUS
10.0.127.249,69.223.161.49,42370,80,TCP,114,13566,24.38,556.44,BENIGN
10.0.82.68,13.92.103.239,14515,80,TCP,165,112860,15.98,7062.58,BENIGN
10.0.201.116,183.160.57.21,62357,53,HTTPS,89,40050,5.65,7088.5,BENIGN
10.0.239.249,115.127.55.58,8160,53,HTTPS,43,48547,29.16,1664.85,BENIGN
10.0.133.104,168.122.154.124,43177,443,DNS,176,152592,3.68,41465.22,BENIGN
10.0.229.74,156.37.60.132,33068,80,TCP,47,35720,4.64,7698.28,BENIGN
10.0.132.104,39.253.167.23,59697,443,TCP,19,27911,5.58,5001.97,BENIGN
10.0.61.216,85.0.166.193,13852,53,TCP,106,32330,28.2,1146.45,BENIGN
10.0.182.107,107.9.186.165,62758,23,TCP,7,602,0.41,1468.29,SUSPICIOUS
10.0.66.4,14.72.203.23,19590,3389,UDP,9,450,0.15,3000.0,SUSPICIOUS
10.0.25.234,141.65.87.121,49457,53,TCP,92,58604,9.0,6511.56,BENIGN
10.0.117.249,27.43.135.70,54748,80,HTTPS,51,31263,22.7,1377.22,BENIGN
10.0.95.237,13.187.74.187,32644,30185,TCP,1201,329589,66.899,4926.67,ANOMALOUS
10.0.234.113,181.9.196.85,5237,443,DNS,164,109060,15.42,7072.63,BENIGN
10.0.147.44,112.0.103.74,33233,6667,TCP,535,2059215,2.96,695680.74,MALICIOUS
10.0.245.125,110.43.185.40,38024,1337,HTTPS,3654,5360418,1.34,4000311.94,MALICIOUS
10.0.66.4,19.130.220.42,58075,53,HTTPS,26,36972,25.25,1464.24,BENIGN
10.0.27.117,223.200.203.103,5103,443,TCP,31,32426,19.07,1700.37,BENIGN
10.0.65.151,163.44.20.103,37621,3258,DNS,2271,464320,48.724,9529.6,ANOMALOUS
10.0.74.237,101.27.109.7,4965,443,DNS,41,37310,1.65,22612.12,BENIGN
10.0.77.161,4.218.2.3,56261,5777,DNS,2742,63800,118.398,538.86,ANOMALOUS
10.0.77.156,61.167.163.118,26693,443,TCP,157,34697,15.41,2251.59,BENIGN
10.0.215.212,129.66.77.135,40906,443,DNS,9,8649,23.32,370.88,BENIGN
10.0.160.188,1.17.113.39,34622,4444,UDP,10,800,0.44,1818.18,SUSPICIOUS
10.0.237.120,120.60.102.80,6035,53,HTTPS,126,11970,8.76,1366.44,BENIGN
10.0.238.182,53.130.4.203,52860,23273,HTTP,1884,283420,10.525,26928.27,ANOMALOUS
10.0.239.9,80.193.191.253,6151,80,TCP,118,47908,3.36,14258.33,BENIGN
10.0.40.14,193.193.69.7,8205,3389,TCP,10,860,0.7,1228.57,SUSPICIOUS
10.0.170.129,70.176.104.168,46740,19610,HTTP,484,173494,23.078,7517.72,ANOMALOUS
10.0.192.176,65.218.95.124,20804,1337,TCP,2803,11021396,1.98,5566361.62,MALICIOUS
10.0.185.77,64.92.124.21,23534,53,DNS,81,91935,14.9,6170.13,BENIGN
10.0.167.17,102.128.125.130,43840,80,DNS,64,88960,24.27,3665.43,BENIGN
10.0.244.228,46.222.170.23,63073,443,DNS,106,106848,12.1,8830.41,BENIGN
10.0.220.94,24.226.20.11,51987,6667,TCP,2,198,0.74,267.57,SUSPICIOUS
10.0.70.248,120.112.48.102,11605,53,TCP,46,65642,24.99,2626.73,BENIGN
10.0.231.242,70.170.149.72,54226,39316,TCP,2548,341293,84.392,4044.14,ANOMALOUS
10.0.200.119,55.84.66.238,48256,6667,TCP,2082,10083126,3.57,2824405.04,MALICIOUS
10.0.13.195,136.152.46.179,24334,443,TCP,137,111107,27.26,4075.83,BENIGN
10.0.235.127,217.195.39.123,43148,443,DNS,78,12090,18.55,651.75,BENIGN
10.0.137.241,5.45.133.22,8998,80,DNS,61,11956,8.01,1492.63,BENIGN
10.0.228.73,184.197.177.6,33378,443,TCP,95,38380,18.37,2089.28,BENIGN
10.0.42.122,72.102.127.130,10452,80,HTTPS,28,16828,24.53,686.02,BENIGN
10.0.192.44,203.135.58.197,35197,31337,TCP,6,570,0.46,1239.13,SUSPICIOUS
10.0.73.139,31.157.92.27,7409,53,DNS,151,206568,5.72,36113.29,BENIGN
10.0.204.77,28.3.23.49,51710,32824,HTTP,2494,401606,78.962,5086.07,ANOMALOUS
10.0.220.132,104.173.215.51,2300,80,TCP,86,21328,21.69,983.31,BENIGN
10.0.67.155,210.143.57.181,32883,80,TCP,64,69056,26.94,2563.33,BENIGN
10.0.143.110,25.228.67.66,24786,5483,TCP,1388,105386,119.354,882.97,ANOMALOUS
10.0.228.129,173.91.138.89,49067,53,HTTPS,69,9315,0.56,16633.93,BENIGN
10.0.133.51,113.126.95.63,38922,443,HTTPS,44,27984,26.54,1054.41,BENIGN
10.0.24.34,126.116.23.6,7994,31337,TCP,1,76,0.36,211.11,SUSPICIOUS
10.0.43.139,142.248.195.52,44412,25920,DNS,959,162261,72.828,2228.0,ANOMALOUS
10.0.54.227,144.29.127.49,37837,443,TCP,15,3900,15.28,255.24,BENIGN
10.0.18.27,2.243.118.216,16286,443,TCP,100,14200,26.32,539.51,BENIGN
10.0.184.237,110.140.24.72,62338,443,HTTPS,18,25470,8.64,2947.92,BENIGN
10.0.36.68,160.43.106.25,9735,80,TCP,132,128700,5.28,24375.0,BENIGN
10.0.34.53,127.102.159.197,50862,80,HTTPS,64,64768,6.72,9638.1,BENIGN
10.0.53.65,138.201.190.68,22705,23,UDP,6,456,0.15,3040.0,SUSPICIOUS
10.0.179.40,141.67.10.4,62210,443,DNS,171,46170,15.84,2914.77,BENIGN
10.0.151.216,120.191.218.108,43394,4444,TCP,1978,12299204,2.44,5040657.38,MALICIOUS
10.0.15.89,72.10.48.9,13998,17145,UDP,2317,254979,70.406,3621.55,ANOMALOUS
10.0.215.79,150.127.217.100,2555,23,UDP,8,576,0.44,1309.09,SUSPICIOUS
10.0.2.190,63.220.215.217,9164,9001,TCP,2372,15576924,1.73,9004002.31,MALICIOUS
10.0.6.103,219.223.113.129,40588,9001,HTTPS,4295,5072395,1.57,3230824.84,MALICIOUS
10.0.234.22,142.20.0.201,43327,53,HTTPS,64,78464,27.61,2841.87,BENIGN
10.0.32.60,102.132.164.123,12604,6042,HTTPS,2414,105847,22.699,4663.07,ANOMALOUS
