text,label
Your mailbox storage is almost full and new messages may be rejected. Upgrade your plan now to avoid interruption.,PHISHING
"Hi Sam, just confirming our meeting tomorrow at 10am. Let me know if that still works for you.",BENIGN
"Your feedback on the draft was really helpful, I've incorporated most of your suggestions.",BENIGN
"You've won an all-expenses-paid vacation package, just pay the resort registration fee to confirm your booking.",SCAM
"Dear valued customer, your account access has been temporarily limited. Please confirm your details to restore full access.",PHISHING
"Great job on the presentation today, the client seemed really impressed.",BENIGN
I'll be out of office next week but Priya will be covering for anything urgent.,BENIGN
"You've been chosen for an exclusive giveaway, just cover the small handling fee to claim your brand new laptop.",SCAM
"Thanks for organizing the potluck, everyone really enjoyed it.",BENIGN
"Thanks for the quick turnaround on the edits, the document looks great now.",BENIGN
"This new cryptocurrency token is about to explode in value, get in early and turn a small deposit into a fortune.",SCAM
Just a friendly note that the library books are due back by the end of the week.,BENIGN
This is an automated notice that your subscription payment failed. Please update your card details to keep your service active.,PHISHING
"A distant relative has left you a significant estate, our legal office needs your details to begin the transfer.",SCAM
We are pleased to inform you that your business proposal has been selected for a generous overseas grant.,SCAM
"Hey, don't forget we have the dentist appointment scheduled for 3pm on Wednesday.",BENIGN
Your two-factor authentication settings need to be updated immediately due to a recent security policy change.,PHISHING
"This is IT support, we're seeing errors on your workstation and need your login password to fix it remotely.",IMPERSONATION
"Here is the invoice for last month's consulting hours, no action needed on your end.",BENIGN
Happy birthday! Hope you have a fantastic day with the family.,BENIGN
"The project deadline has shifted to next Friday, please plan your sprint accordingly.",BENIGN
Attached is the quarterly report you requested. Happy to walk through it on a call if useful.,BENIGN
"Congrats on the promotion, well deserved after all your hard work this year!",BENIGN
"This is customer support, there's an issue with your recent order, please provide your card details to resolve it.",IMPERSONATION
Your document sharing link is about to expire. Sign in now to keep access to the shared files.,PHISHING
Can we push our call to next Tuesday afternoon? Something came up on my end.,BENIGN
"You qualify for a special government relief grant, a small processing fee is required before funds can be released.",SCAM
"Following up on our chat last week, I've attached the revised proposal for review.",BENIGN
"Quick heads up, the parking garage will be under maintenance this weekend.",BENIGN
"Quarterly all-hands is scheduled for next Wednesday at 2pm, calendar invite to follow.",BENIGN
"It's your CFO, please process an urgent wire transfer for a confidential acquisition, keep this between us for now.",IMPERSONATION
This week's engineering newsletter covers the new deployment pipeline and on-call rotation.,BENIGN
"Hi, this is the building's property management, please log into the tenant portal below to confirm your lease renewal.",IMPERSONATION
"Hi, this is HR, we're updating payroll records and need your social security number confirmed by end of day.",IMPERSONATION
"Congratulations! Your email address has been selected to receive a cash prize of $850,000 from our international sweepstakes.",SCAM
"Hello, this is the helpdesk, we need temporary remote access to your computer to patch a critical vulnerability.",IMPERSONATION
"The new coffee machine is finally installed in the break room, come check it out.",BENIGN
Reminder that timesheets are due by end of day Friday this week.,BENIGN
"Hey it's the CEO, I'm tied up in back to back meetings, can you quickly buy some gift cards and send me the codes?",IMPERSONATION
"Work from the comfort of your home and earn thousands weekly with zero experience required, sign up today.",SCAM
"This is your insurance provider, your policy is under review, confirm your account number to avoid cancellation.",IMPERSONATION
This is a reminder that your domain registration is about to lapse. Renew now to avoid losing ownership.,PHISHING
"Your ticket number matches our grand prize draw, please respond promptly with your banking details to receive payment.",SCAM
There was a problem verifying your recent purchase. Confirm your payment information to complete the transaction.,PHISHING
